week,vuln_discovery_rate,vuln_backlog,incident_burden,misuse_opportunity,trust_erosion,institutional_overload
0.0,0.3499999940395355,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.550000011920929,0.18000000715255737
1.0,0.3280576169490814,0.18084542453289032,0.1602933257818222,0.2221526950597763,0.5875526070594788,0.34329476952552795
2.0,0.30770835280418396,0.1745377629995346,0.14499889314174652,0.2523981034755707,0.6196258068084717,0.4626702070236206
3.0,0.2897719144821167,0.16801108419895172,0.13307291269302368,0.27406662702560425,0.6466840505599976,0.5411519408226013
4.0,0.2744702398777008,0.16283775866031647,0.12375859171152115,0.28956571221351624,0.6710042953491211,0.5927318930625916
5.0,0.26172077655792236,0.1591472327709198,0.1164974793791771,0.30063536763191223,0.6938318014144897,0.6284167766571045
6.0,0.2512955665588379,0.15657666325569153,0.11085886508226395,0.3085314631462097,0.7151961922645569,0.6551737189292908
7.0,0.24290867149829865,0.15479174256324768,0.1065053716301918,0.3141584098339081,0.7350039482116699,0.6773876547813416
8.0,0.23626382648944855,0.15354809165000916,0.10317113250494003,0.31816595792770386,0.7533959150314331,0.6978327035903931
9.0,0.23107951879501343,0.15267769992351532,0.10064572095870972,0.3210197985172272,0.7705578207969666,0.717778205871582
10.0,0.2271011620759964,0.1520666778087616,0.09876205027103424,0.3230529725551605,0.7865573167800903,0.7371661067008972
11.0,0.22410568594932556,0.15163762867450714,0.09738712757825851,0.3245031237602234,0.801360011100769,0.7553094029426575
12.0,0.2219020575284958,0.15133744478225708,0.09641488641500473,0.3255394995212555,0.8148695230484009,0.7714101672172546
13.0,0.2203293889760971,0.15112926065921783,0.09576059132814407,0.32628241181373596,0.8269811868667603,0.7848273515701294
14.0,0.21925406157970428,0.15098722279071808,0.09535647928714752,0.32681724429130554,0.8376643061637878,0.7953927516937256
15.0,0.21856634318828583,0.1508929282426834,0.09514828026294708,0.32720449566841125,0.846974790096283,0.8033992052078247
16.0,0.21817700564861298,0.15083318948745728,0.0950925201177597,0.32748693227767944,0.8550231456756592,0.8093372583389282
17.0,0.2180141657590866,0.1507984697818756,0.09515435248613358,0.3276948034763336,0.8619434237480164,0.813703715801239
18.0,0.21802036464214325,0.1507817655801773,0.09530583769083023,0.32784947752952576,0.8678733706474304,0.8169188499450684
19.0,0.2181500941514969,0.15077795088291168,0.09552457928657532,0.32796600461006165,0.8729438185691833,0.8193075060844421
20.0,0.2183675915002823,0.1507832407951355,0.09579266607761383,0.3280550539493561,0.8772736191749573,0.8211082220077515
21.0,0.21864499151706696,0.15079480409622192,0.09609576314687729,0.32812410593032837,0.8809683322906494,0.822490930557251
22.0,0.21896079182624817,0.1508105844259262,0.0964224562048912,0.3281785249710083,0.884119987487793,0.8235745429992676
23.0,0.2192986011505127,0.150829017162323,0.09676365554332733,0.3282221257686615,0.8868081569671631,0.8244415521621704
24.0,0.21964605152606964,0.15084895491600037,0.09711219370365143,0.32825756072998047,0.8891013860702515,0.8251529932022095
25.0,0.21999400854110718,0.15086959302425385,0.09746240824460983,0.3282867968082428,0.8910583853721619,0.825761616230011
26.0,0.22033579647541046,0.1508903205394745,0.09780991822481155,0.3283112347126007,0.8927293419837952,0.8262940645217896
27.0,0.22066672146320343,0.15091069042682648,0.09815133363008499,0.3283318877220154,0.8941568732261658,0.8267541527748108
28.0,0.2209835946559906,0.15093043446540833,0.0984840840101242,0.3283495604991913,0.8953771591186523,0.8271508812904358
29.0,0.22128437459468842,0.15094932913780212,0.09880626946687698,0.3283647894859314,0.8964208364486694,0.827494204044342
30.0,0.22156788408756256,0.15096727013587952,0.09911651164293289,0.32837802171707153,0.8973140120506287,0.8277929425239563
31.0,0.22183361649513245,0.15098416805267334,0.09941386431455612,0.32838955521583557,0.8980786800384521,0.8280541896820068
32.0,0.22208154201507568,0.1509999930858612,0.09969773143529892,0.3283996880054474,0.8987333178520203,0.8282834887504578
33.0,0.22231197357177734,0.15101474523544312,0.09996778517961502,0.3284086287021637,0.8992934823036194,0.8284851908683777
34.0,0.2225254774093628,0.15102846920490265,0.10022393614053726,0.32841652631759644,0.8997719287872314,0.828662633895874
35.0,0.22272278368473053,0.1510411947965622,0.10046624392271042,0.32842352986335754,0.9001791477203369,0.8288182616233826
36.0,0.2229047417640686,0.15105292201042175,0.1006949245929718,0.3284297585487366,0.9005080461502075,0.8289533257484436
37.0,0.22307221591472626,0.1510637402534485,0.10091029107570648,0.3284353017807007,0.9007625579833984,0.8290827870368958
38.0,0.2232261449098587,0.15107370913028717,0.1011127382516861,0.32844024896621704,0.9010226726531982,0.8292255401611328
39.0,0.22336745262145996,0.1510828584432602,0.10130272060632706,0.3284446597099304,0.9011915922164917,0.829330325126648
40.0,0.22349701821804047,0.15109124779701233,0.10148072987794876,0.3284485936164856,0.9014017581939697,0.8294631242752075
41.0,0.22361572086811066,0.15109896659851074,0.101647287607193,0.32845211029052734,0.9015305042266846,0.8295471668243408
42.0,0.2237243950366974,0.15110601484775543,0.10180292278528214,0.32845526933670044,0.901694118976593,0.8296525478363037
43.0,0.22382383048534393,0.15111248195171356,0.10194818675518036,0.32845810055732727,0.9017664194107056,0.8297159671783447
44.0,0.22391477227210999,0.15111839771270752,0.10208363085985184,0.3284606337547302,0.9019022583961487,0.8298200368881226
45.0,0.22399790585041046,0.1511237919330597,0.10220978409051895,0.3284628987312317,0.9019788503646851,0.8298759460449219
46.0,0.2240738719701767,0.15112873911857605,0.10232718288898468,0.32846495509147644,0.9020676612854004,0.8299435973167419
47.0,0.22414328157901764,0.15113326907157898,0.10243633389472961,0.3284668028354645,0.9021151661872864,0.8299931287765503
48.0,0.22420667111873627,0.15113739669322968,0.10253774374723434,0.3284684717655182,0.9021987915039062,0.8300589323043823
49.0,0.22426456212997437,0.15114115178585052,0.10263188928365707,0.3284699618816376,0.9022141098976135,0.8300918340682983
50.0,0.22431743144989014,0.1511445939540863,0.10271923243999481,0.328471302986145,0.90229332447052,0.8301602602005005
